Date,Close,High,Low,Open,Volume,return,lag_1,lag_2,lag_3,lag_5,lag_7,lag_10,rolling_mean_7,rolling_std_7,volatility_20,target
2016-04-04,1218.0,1222.300048828125,1215.0,1221.699951171875,2038,-0.0034363863031151576,1222.199951171875,1234.199951171875,1226.9000244140625,1219.9000244140625,1223.699951171875,1253.800048828125,1225.4571358816963,7.011368303185329,0.010750921444346152,1228.4000244140625
2016-04-05,1228.4000244140625,1236.699951171875,1215.4000244140625,1215.4000244140625,477,0.00853860789331895,1218.0,1222.199951171875,1234.199951171875,1235.5999755859375,1221.4000244140625,1243.800048828125,1226.4571358816963,6.8332051087635985,0.010972862664533128,1222.5
2016-04-06,1222.5,1230.4000244140625,1217.5999755859375,1230.4000244140625,248,-0.004803015546077316,1228.4000244140625,1218.0,1222.199951171875,1226.9000244140625,1219.9000244140625,1248.199951171875,1226.8285609654017,6.478858821688075,0.010999230326024534,1236.199951171875
2016-04-07,1236.199951171875,1242.9000244140625,1224.5999755859375,1224.800048828125,375,0.011206504026073594,1222.5,1228.4000244140625,1218.0,1234.199951171875,1235.5999755859375,1223.699951171875,1226.914271763393,6.616739949534311,0.011334530379640393,1242.5
2016-04-08,1242.5,1242.800048828125,1232.0,1241.0,409,0.00509630244051773,1236.199951171875,1222.5,1228.4000244140625,1222.199951171875,1226.9000244140625,1221.4000244140625,1229.1428397042412,8.85848558885915,0.011010363140543005,1256.699951171875
2016-04-11,1256.699951171875,1258.699951171875,1241.5,1241.5,437,0.01142853213028161,1242.5,1236.199951171875,1222.5,1218.0,1234.199951171875,1219.9000244140625,1232.3571254185267,13.737631946835258,0.011120120196762732,1259.4000244140625
2016-04-12,1259.4000244140625,1261.699951171875,1253.699951171875,1260.0,185,0.00214854248993146,1256.699951171875,1242.5,1236.199951171875,1228.4000244140625,1222.199951171875,1235.5999755859375,1237.671421595982,16.138944510170308,0.010800766125812346,1246.800048828125
2016-04-13,1246.800048828125,1256.9000244140625,1241.300048828125,1256.5,203,-0.010004744593997916,1259.4000244140625,1256.699951171875,1242.5,1222.5,1218.0,1226.9000244140625,1241.7857142857142,13.788088800320892,0.010731875355817357,1225.0
2016-04-14,1225.0,1243.699951171875,1224.5,1231.4000244140625,264,-0.01748479946613335,1246.800048828125,1259.4000244140625,1256.699951171875,1236.199951171875,1228.4000244140625,1234.199951171875,1241.2999965122767,14.385179960910966,0.01147818957155312,1233.0999755859375
2016-04-15,1233.0999755859375,1235.0,1225.699951171875,1225.699951171875,97,0.006612224968112201,1225.0,1246.800048828125,1259.4000244140625,1242.5,1222.5,1222.199951171875,1242.8142787388392,12.512324156245379,0.009452980451729705,1233.5999755859375
2016-04-18,1233.5999755859375,1241.0999755859375,1232.199951171875,1238.699951171875,304,0.00040548212626667635,1233.0999755859375,1225.0,1246.800048828125,1256.699951171875,1236.199951171875,1218.0,1242.4428536551338,12.777179475055013,0.009301887570570879,1253.0
2016-04-19,1253.0,1256.199951171875,1228.800048828125,1231.5999755859375,386,0.015726349544428198,1233.5999755859375,1233.0999755859375,1225.0,1259.4000244140625,1242.5,1228.4000244140625,1243.9428536551338,13.386796761914281,0.009830459152488976,1253.199951171875
2016-04-20,1253.199951171875,1256.0999755859375,1243.0,1256.0999755859375,180,0.0001595779504190986,1253.0,1233.5999755859375,1233.0999755859375,1246.800048828125,1256.699951171875,1222.5,1243.4428536551338,12.886933192524925,0.00980296010071903,1249.0
2016-04-21,1249.0,1270.5999755859375,1247.5999755859375,1247.699951171875,124,-0.0033513815316922324,1253.199951171875,1253.0,1233.5999755859375,1225.0,1259.4000244140625,1236.199951171875,1241.9571358816963,11.234154458644554,0.008677198154474394,1228.699951171875
