model,rmse,mae,r2,rmse_pct,naive_rmse,naive_mae,naive_r2,naive_rmse_pct
Linear Regression,26.518393959265104,18.018950026189817,0.9806560983513481,0.011329660432658145,26.21242521625204,17.675700990243808,0.9813322515494537,0.011147962036119063
Random Forest,384.2886733266032,300.1429544547957,-0.4802224829471573,0.13820718143172206,26.21242521625204,17.675700990243808,0.9813322515494537,0.011147962036119063
Gradient Boosting,387.88570317499807,303.3923911654441,-0.5283335847760459,0.13953975037589328,26.21242521625204,17.675700990243808,0.9813322515494537,0.011147962036119063
XGBoost,394.48155667309527,310.00993782080315,-0.6215963975290643,0.1430695857126577,26.21242521625204,17.675700990243808,0.9813322515494537,0.011147962036119063
