model,arima_order,horizon,rmse,mae,r2,rmse_pct,naive_rmse,naive_mae,naive_r2,naive_rmse_pct
ARIMA,"(1, 1, 1)",1,26.339201990022353,17.851049811000117,0.9815732224790444,0.011162503002738106,26.243632004425002,17.73677955040565,0.9817765755729132,0.011101202451163212
ARIMA,"(1, 1, 1)",3,43.44234970673308,31.00761443577131,0.9494682756188176,0.018486507840565613,43.391617404323924,30.94485596876878,0.9497099966777661,0.0184448475717481
ARIMA,"(1, 1, 1)",5,55.34054312192127,40.77366593082589,0.9162103883815673,0.023556374142802542,55.26708045793813,40.68187255859375,0.9165755526131749,0.023504397022010536
ARIMA,"(1, 1, 1)",7,64.95956162271565,47.24854463744672,0.8839086799936483,0.027538754340832573,64.90900432083818,47.19543046217698,0.8842754613298884,0.027492740509610723
ARIMA-GARCH,"(1, 1, 1)",1,26.339201990022353,17.851049811000117,0.9815732224790444,0.011162503002738106,26.243632004425002,17.73677955040565,0.9817765755729132,0.011101202451163212
ARIMA-GARCH,"(1, 1, 1)",3,43.44234970673308,31.00761443577131,0.9494682756188176,0.018486507840565613,43.391617404323924,30.94485596876878,0.9497099966777661,0.0184448475717481
ARIMA-GARCH,"(1, 1, 1)",5,55.34054312192127,40.77366593082589,0.9162103883815673,0.023556374142802542,55.26708045793813,40.68187255859375,0.9165755526131749,0.023504397022010536
ARIMA-GARCH,"(1, 1, 1)",7,64.95956162271565,47.24854463744672,0.8839086799936483,0.027538754340832573,64.90900432083818,47.19543046217698,0.8842754613298884,0.027492740509610723
