model,arima_order,horizon,rmse,mae,r2,rmse_pct,naive_rmse,naive_mae,naive_r2,naive_rmse_pct
ARIMA,"(1, 1, 1)",1,26.14863522395249,17.643322990598396,0.9812417275553253,0.01113979125036409,26.158317067157725,17.64641025037651,0.9812571755161222,0.011139536363242672
ARIMA,"(1, 1, 1)",3,43.194826186378336,30.787978405302766,0.9483417736326027,0.018498666922945224,43.20016470266503,30.76992740493223,0.9484136324493349,0.01848980881484328
ARIMA,"(1, 1, 1)",5,55.023935399856896,40.396669431200465,0.9142584598806112,0.023588724557634354,54.99966001950055,40.365442865210845,0.9144558521504363,0.023564158328014916
ARIMA,"(1, 1, 1)",7,64.49293920988866,46.689654344736326,0.8826228489438759,0.02752167313325209,64.49113892266342,46.68274419945406,0.8827821193683631,0.027504296290404184
ARIMA-GARCH,"(1, 1, 1)",1,26.14863522395249,17.643322990598396,0.9812417275553253,0.01113979125036409,26.158317067157725,17.64641025037651,0.9812571755161222,0.011139536363242672
ARIMA-GARCH,"(1, 1, 1)",3,43.194826186378336,30.787978405302766,0.9483417736326027,0.018498666922945224,43.20016470266503,30.76992740493223,0.9484136324493349,0.01848980881484328
ARIMA-GARCH,"(1, 1, 1)",5,55.023935399856896,40.396669431200465,0.9142584598806112,0.023588724557634354,54.99966001950055,40.365442865210845,0.9144558521504363,0.023564158328014916
ARIMA-GARCH,"(1, 1, 1)",7,64.49293920988866,46.689654344736326,0.8826228489438759,0.02752167313325209,64.49113892266342,46.68274419945406,0.8827821193683631,0.027504296290404184
